Field,ID,Type (種類),default,ja,en
TrailerThumbnail1,1040,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9NR0WT1C5MZ2/submissions/1152921505700023997/trailers/1152922700022526512/assets/3002362859274742645,https://developer.microsoft.com/en-us/dashboard/apps/9NR0WT1C5MZ2/submissions/1152921505700023997/trailers/1152922700022526512/assets/3002362859274742645
TrailerThumbnail2,1041,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail3,1042,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail4,1043,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail5,1044,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail6,1045,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail7,1046,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail8,1047,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail9,1048,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail10,1049,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail11,1050,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail12,1051,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail13,1052,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail14,1053,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail15,1054,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption1,1055,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption2,1056,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption3,1057,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption4,1058,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption5,1059,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption6,1060,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption7,1061,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption8,1062,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption9,1063,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption10,1064,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption11,1065,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption12,1066,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption13,1067,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption14,1068,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption15,1069,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription1,1070,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription2,1071,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription3,1072,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription4,1073,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription5,1074,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription6,1075,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription7,1076,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription8,1077,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription9,1078,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription10,1079,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription11,1080,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription12,1081,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription13,1082,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription14,1083,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription15,1084,相対パス (またはパートナー センターにあるファイルへの URL),,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
